Timestamp,close,high,low,open,volume
1449028146,1360.2000,1360.5000,1355.0000,1359.0000,2200
1449028444,1363.6000,1365.0000,1359.0500,1360.4000,3500
1449028742,1367.0000,1367.8500,1363.6000,1364.6500,4100
1449029043,1372.1500,1373.0000,1367.0000,1367.8500,7800
1449029340,1369.6500,1373.1500,1368.3500,1372.2500,3800
1449029658,1369.8000,1370.2000,1368.6000,1369.6000,1600
1449029963,1368.0000,1369.8000,1367.6500,1368.6500,1700
1449030246,1364.5000,1368.0000,1363.4500,1367.2000,4500
1449030543,1365.0000,1365.8000,1363.1000,1364.5500,1700
1449030869,1363.0000,1367.5000,1362.0500,1364.3500,5600
1449031143,1362.6000,1363.8500,1362.1000,1363.8500,1000
1449031441,1363.3000,1363.8000,1361.6500,1363.8000,1800
1449031748,1361.5500,1363.3000,1361.0000,1363.3000,1000
1449032044,1362.0000,1362.9000,1360.1500,1361.0000,400
1449032347,1362.5500,1362.8500,1362.5500,1362.8500,200
1449032644,1360.0000,1362.5500,1360.0000,1362.5500,1900
1449032957,1360.9000,1361.0000,1357.5000,1358.1500,2300
1449033299,1361.8000,1362.0000,1359.4500,1360.9000,900
1449033540,1360.5000,1362.9000,1359.0000,1361.9500,2700
1449033842,1360.0000,1361.0000,1358.2500,1361.0000,2000
1449034145,1362.0000,1362.0000,1359.6500,1360.0000,2900
1449034442,1362.3000,1363.4000,1361.1500,1362.0000,3200
1449034795,1361.6500,1362.8500,1360.5500,1362.8500,800
1449035091,1361.4000,1361.6500,1361.0000,1361.0000,100
1449035398,1360.6000,1361.7000,1360.6000,1361.4000,600
1449035640,1361.0000,1361.8500,1360.6000,1361.0000,300
1449035955,1361.7500,1361.8500,1361.0000,1361.0000,500
1449036250,1361.0000,1361.9000,1361.0000,1361.9000,100,1449036250,1361.0000,1361.9000,1361.0000,1361.9000,100,1449036250,1361.0000,1361.9000,1361.0000,1361.9000,100
1449036555,1361.0000,1361.7000,1360.0500,1361.3500,300
1449036860,1362.9000,1362.9000,1361.0000,1361.0000,200
1449037145,1362.8000,1362.9000,1361.5000,1362.9000,200
1449037463,1363.3000,1363.3000,1362.8000,1362.8000,1000
1449037759,1361.7000,1363.3000,1361.5000,1363.3000,200
1449038063,1362.7500,1362.8000,1361.7000,1361.7000,100
1449038363,1360.0500,1363.2000,1360.0500,1362.8500,200
1449038649,1361.5500,1361.8000,1358.5000,1359.2500,500
1449038984,1361.9000,1361.9000,1361.0000,1361.6000,500
1449039064,1360.1000,1361.0000,1360.1000,1361.0000,200
1449039559,1360.6500,1361.4000,1359.9000,1360.6500,800
1449039848,1360.0500,1361.9500,1359.7000,1361.9500,8000
1449040156,1361.4000,1361.5000,1360.5000,1360.5000,0
1449040416,1360.6500,1361.4000,1360.0000,1360.8000,2900
1449040790,1360.4500,1361.5000,1360.4500,1361.3500,2200
1449041052,1360.0000,1361.0000,1360.0000,1360.3500,3000
1449041343,1360.6000,1360.6000,1360.0000,1360.0000,1900
1449041641,1360.8000,1361.0000,1360.0000,1360.6000,5600
1449041905,1361.0000,1361.0000,1360.0000,1361.0000,500
1449042263,1363.0000,1363.0000,1360.0000,1360.5000,13200
1449042563,1362.2500,1363.0000,1362.2500,1363.0000,400
1449042840,1361.5500,1363.0000,1361.0000,1363.0000,200
1449043134,1361.0000,1361.8000,1361.0000,1361.7500,100
1449043449,1359.7500,1361.0000,1359.7500,1361.0000,1800
1449043742,1361.6500,1361.6500,1360.0000,1360.0000,400
1449044046,1363.9500,1363.9500,1361.0500,1361.0500,1400
1449044344,1363.9500,1363.9500,1363.0000,1363.9500,500
1449044691,1363.0000,1363.9000,1362.5500,1363.9000,200
1449044764,1362.0000,1362.3000,1362.0000,1362.3000,100
1449045210,1362.8000,1362.9500,1361.9500,1361.9500,0
1449045555,1359.7500,1362.0000,1359.7500,1362.0000,1500
1449045840,1359.7500,1360.4500,1359.7500,1359.7500,100
1449046171,1360.0000,1360.9000,1359.0000,1360.8000,1600
1449046422,1360.8000,1360.8000,1360.0000,1360.0000,0
1449046741,1361.0000,1361.0000,1360.9000,1360.9500,300
1449047051,1361.7500,1361.7500,1360.9000,1361.0000,3900
1449047351,1362.0000,1362.0000,1361.0000,1361.0000,100
1449047648,1361.0000,1361.9000,1361.0000,1361.1000,900
1449047948,1362.0000,1362.0000,1361.0000,1361.7500,1400
1449048240,1361.0500,1362.3500,1361.0000,1362.0500,900
1449048545,1362.8500,1362.8500,1361.1500,1362.2000,600
1449048840,1362.0000,1362.9500,1361.3500,1362.9500,900
1449049160,1361.6000,1362.6000,1361.3500,1361.8000,1200
1449049462,1360.7000,1362.2000,1360.7000,1361.9000,6400
1449049740,1358.1500,1360.7000,1358.0000,1360.7000,15200
1449050040,1358.4000,1359.5000,1358.0000,1359.0000,6100
1449050346,1359.5000,1359.9500,1358.0000,1359.4000,1200
1449114543,1361.9000,1362.7000,1357.0000,1357.9000,0
1449114842,1361.0500,1362.8000,1360.5000,1361.7500,2300
1449115140,1360.8500,1362.1000,1359.0000,1362.0000,2300
1449115451,1358.8500,1361.6000,1356.4000,1361.5500,3700
1449115754,1357.3000,1359.9500,1357.1500,1359.9500,700
1449116051,1358.7000,1358.7000,1355.8000,1357.4500,1400
1449116347,1359.6500,1359.9000,1359.0000,1359.1000,500
1449116647,1357.0000,1360.0000,1356.9500,1359.6500,1100
1449116940,1355.0000,1357.9500,1352.4000,1357.9500,3100
1449117244,1352.5500,1354.8000,1352.4000,1354.8000,2700
1449117546,1353.8000,1355.0000,1352.4000,1353.5000,1600
1449117846,1353.8000,1354.5000,1353.8000,1354.0500,700
1449118151,1354.5000,1354.5000,1353.3500,1353.5500,1000
1449118442,1354.0500,1355.8000,1353.0000,1354.5000,2100
1449118746,1355.6500,1356.2500,1353.1500,1354.3000,800
1449119050,1354.7000,1356.7500,1354.7000,1355.8000,1500
1449119344,1357.2000,1358.0000,1354.7500,1355.5000,1700
1449119647,1356.0000,1357.9000,1356.0000,1357.7000,1000
1449119942,1355.1000,1356.4500,1355.1000,1356.0000,1000
1449120299,1354.2500,1355.3500,1354.2000,1355.2000,2000
1449120551,1357.6000,1357.6500,1354.0000,1354.2500,3300
1449120845,1356.8500,1357.9000,1356.2000,1357.6000,1700
1449121143,1356.4000,1357.4500,1355.5500,1356.8000,1100
1449121443,1356.6500,1357.6000,1355.3500,1356.3500,1400
1449121751,1357.4000,1357.9500,1356.5500,1356.6500,700
1449122041,1357.7000,1357.8000,1356.0000,1356.9000,1100
1449122342,1357.7000,1357.9000,1357.3000,1357.7000,500
1449122658,1356.8000,1357.8000,1356.1500,1357.7000,800
1449122950,1356.4000,1356.9500,1356.3000,1356.9500,200
1449123257,1354.9500,1357.7500,1354.9500,1356.3500,700
1449123545,1354.6000,1355.8500,1354.2000,1355.8500,300
1449123847,1354.1000,1355.4000,1353.9000,1354.4000,900
1449124143,1355.2000,1355.2000,1354.0000,1354.4500,3200
1449124441,1354.9500,1355.1500,1354.2000,1355.1500,1800
1449124759,1355.3000,1355.6500,1354.4500,1354.9000,300
1449125057,1355.8000,1356.2500,1354.4500,1355.1500,900
1449125345,1354.3500,1356.7500,1354.0500,1355.4500,4700
1449125647,1355.2000,1355.2000,1354.0500,1354.2500,300
1449125885,1355.3000,1355.3000,1354.3000,1355.2000,700
1449126245,1354.8000,1355.2500,1354.3500,1354.8000,800
1449126560,1354.5500,1355.1500,1353.0000,1354.8000,2400
1449126845,1355.0000,1355.5000,1354.5000,1354.5000,700
1449127154,1354.5000,1356.6000,1354.5000,1355.3000,1600
1449127441,1353.6000,1354.5000,1353.6000,1354.5000,800
1449127743,1352.5000,1353.4500,1352.5000,1353.4500,1000
1449128048,1352.5000,1353.2500,1352.3500,1352.4000,500
1449128357,1351.4000,1353.7500,1351.4000,1352.5000,700
1449128640,1352.4500,1352.4500,1350.0000,1351.2000,2900
1449128968,1351.0000,1352.4000,1351.0000,1352.4000,1600
1449129246,1349.4500,1351.0000,1348.3500,1351.0000,3400
1449129549,1354.5000,1354.5000,1349.8500,1349.8500,1400
1449129801,1353.6500,1353.6500,1352.8500,1353.2500,0
1449130113,1352.9500,1353.6500,1352.9500,1353.6500,200
1449130490,1352.0500,1353.6500,1352.0000,1352.9500,200
1449130792,1353.0000,1353.0000,1351.8500,1352.8000,100
1449130932,1352.6500,1352.7500,1352.2500,1352.7500,100
1449131340,1352.4500,1353.8500,1352.4500,1353.5000,400
1449131659,1352.6000,1353.1500,1352.3000,1353.1500,200
1449131972,1353.5000,1353.5000,1353.5000,1353.5000,0
1449132244,1358.0000,1358.0000,1352.6000,1352.6000,2900
1449132540,1354.7000,1358.0000,1353.6500,1358.0000,1500
1449132868,1352.0500,1354.1500,1351.7000,1354.1500,900
1449133155,1352.9000,1354.6000,1352.3500,1353.3000,300
1449133447,1351.5500,1352.3000,1350.4000,1352.1000,1400
1449133747,1351.6500,1351.9500,1351.0000,1351.6000,500
1449134053,1350.6500,1354.8000,1350.6000,1352.0000,2400
1449134354,1350.4000,1350.5000,1350.1000,1350.5000,500
1449134646,1350.0000,1350.9000,1350.0000,1350.1000,4100
1449134944,1350.6000,1352.0000,1350.5500,1350.7000,900
1449135260,1350.0500,1351.4000,1350.0000,1350.9000,4600
1449135540,1350.0500,1351.2000,1350.0000,1350.0000,9600
1449135894,1350.0000,1351.0000,1350.0000,1350.2500,11300
1449136141,1350.2000,1350.8500,1349.0000,1350.0000,19800
1449136499,1349.9500,1350.7500,1348.8000,1350.2500,9000
1449136745,1353.9500,1354.1000,1350.0000,1350.0500,9000
1449200998,1337.1000,1341.1000,1337.1000,1341.0000,0
1449201243,1339.8500,1340.0000,1335.0000,1338.1500,3300
1449201542,1337.7500,1342.5500,1337.7500,1339.8500,2400
1449201851,1337.8000,1338.8000,1337.0000,1337.7500,2100
1449202144,1338.3000,1338.3000,1336.7000,1337.1500,1000
1449202440,1340.9500,1341.4500,1337.9000,1337.9000,900
1449202762,1340.8000,1340.9500,1339.3000,1340.9500,700
1449203041,1340.8000,1340.9000,1340.1000,1340.8000,700
1449203341,1340.2000,1340.9000,1339.5000,1340.8000,1400
1449203641,1341.4000,1341.6000,1340.2500,1340.7000,400
1449203941,1341.8500,1341.9500,1341.3500,1341.4000,300
1449204242,1340.7500,1342.0000,1340.7500,1341.8500,700
1449204540,1339.3000,1341.1000,1339.3000,1341.1000,1300
1449204841,1338.8500,1339.3000,1338.5000,1339.3000,800
1449205161,1338.8500,1339.0000,1337.0000,1338.6500,800
1449205441,1338.4000,1339.0000,1338.0000,1338.8000,300
1449205747,1338.4000,1339.5000,1337.8500,1338.4000,1200
1449206056,1339.3500,1339.4000,1338.4000,1338.4000,900
1449206341,1339.2000,1339.5000,1339.0000,1339.0000,500
1449206662,1338.8500,1339.4500,1338.5500,1339.2000,600
1449206947,1339.4000,1339.8500,1338.5500,1338.8500,1500
1449207241,1338.2000,1340.2500,1338.2000,1339.5000,1100
1449207548,1338.5500,1338.9500,1338.0000,1338.9500,900
1449207844,1337.7000,1338.5500,1337.2500,1338.4500,300
1449208144,1335.2500,1337.7000,1335.2500,1337.5000,3800
1449208445,1335.5000,1336.3500,1335.2500,1335.8000,1000
1449208757,1335.4500,1336.5000,1335.4500,1335.7500,800
1449209067,1335.5000,1336.7000,1335.5000,1335.7500,1100
1449209348,1336.6500,1336.6500,1335.5500,1335.9500,1100
1449209676,1337.0500,1337.8500,1335.7000,1335.7000,300
1449209978,1336.5500,1336.5500,1335.6500,1335.6500,800
1449210261,1336.0000,1336.5000,1335.7500,1336.5000,200
1449210483,1336.2500,1336.2500,1335.5000,1336.0000,300
1449210848,1335.7500,1336.2500,1335.2000,1335.6000,1200
1449211145,1335.2500,1336.0000,1335.2500,1336.0000,1000
1449211453,1334.5000,1335.4500,1334.1000,1335.2500,7800
1449211744,1334.1500,1335.0000,1334.0000,1334.0000,2900
1449212099,1333.0000,1334.5000,1333.0000,1334.3000,4500
1449212341,1333.0000,1333.3000,1332.5000,1333.0000,31300
1449212640,1332.9000,1333.2500,1332.4500,1333.0000,2700
1449212944,1333.0000,1333.0000,1332.3000,1333.0000,15700
1449213298,1333.5000,1333.5000,1332.8500,1333.0000,15900
1449213540,1333.0000,1333.6000,1332.5000,1333.5000,6300
1449213841,1333.0000,1333.1500,1332.6500,1332.6500,8000
1449214141,1337.1000,1340.0000,1332.9000,1333.0000,12400
1449214471,1335.2000,1336.9500,1333.0000,1336.9500,5700
1449214741,1335.4000,1335.4000,1334.9500,1335.2000,200
1449215044,1336.0500,1336.0500,1335.1000,1335.1500,200
1449215354,1338.7000,1338.7000,1335.2500,1336.5500,800
1449215680,1337.6500,1338.6500,1337.0500,1338.5000,600
1449215940,1335.0000,1337.6500,1335.0000,1337.1500,3400
1449216243,1335.1000,1335.6500,1334.9500,1334.9500,300
1449216568,1337.0000,1338.0000,1335.6500,1335.6500,1100
1449216842,1336.5000,1336.8500,1336.1500,1336.7500,900
1449217151,1336.3000,1336.4500,1336.0000,1336.4500,300
1449217473,1336.3000,1336.4000,1335.6500,1335.6500,300
1449217745,1335.2000,1336.3000,1334.8000,1336.3000,1200
1449218090,1335.5500,1335.5500,1335.1000,1335.1500,500
1449218341,1335.2500,1336.3500,1335.2500,1335.5500,300
1449218643,1335.0500,1336.1500,1335.0500,1335.5500,800
1449218992,1336.9500,1337.0000,1335.0000,1335.2500,1100
1449219259,1335.1000,1336.9500,1335.0500,1336.9500,400
1449219543,1335.8500,1336.0000,1335.0000,1335.1000,500
1449219840,1335.1000,1336.1000,1335.0000,1336.0000,1300
1449220165,1335.1500,1337.4500,1335.0000,1335.0500,1500
1449220440,1335.1500,1335.6500,1334.9500,1335.6000,6100
1449220764,1335.1500,1335.6500,1334.8500,1335.0000,3200
1449221065,1335.5000,1335.8000,1335.0000,1335.1500,700
1449221353,1335.0000,1335.5000,1335.0000,1335.0000,3000
1449221641,1333.1500,1335.1000,1333.0000,1335.0500,7800
1449221997,1334.2500,1334.7500,1333.2000,1333.9500,3600
1449222241,1334.5000,1334.9500,1334.2500,1334.2500,3900
1449222540,1334.6500,1335.0000,1334.3500,1334.5000,5900
1449222840,1334.5000,1335.9500,1334.0000,1334.5000,11000
1449223141,1335.0500,1336.8500,1334.6000,1334.6000,8400
1449460146,1340.0000,1342.3500,1338.0000,1338.0000,0
1449460447,1341.6500,1343.1000,1339.3000,1339.3000,3800
1449460752,1343.5000,1343.5000,1341.6000,1341.9000,600
1449461041,1341.7500,1344.9000,1340.3000,1344.0000,2800
1449461359,1341.4000,1341.9500,1337.8500,1341.8500,1100
1449461644,1342.1000,1342.6000,1340.7000,1341.4000,800
1449461941,1338.9000,1342.5000,1338.1000,1342.5000,1900
1449462266,1340.0000,1341.0000,1338.8000,1339.4500,1500
1449462561,1338.0000,1340.5000,1337.8000,1340.0000,800
1449462842,1337.9000,1338.1000,1337.0000,1337.8000,900
1449463152,1338.4000,1338.6500,1337.5000,1338.0000,600
1449463445,1338.2500,1339.7500,1335.6500,1338.0000,2900
1449463753,1337.9500,1339.4500,1336.5000,1338.2500,1400
1449464048,1338.4000,1339.5000,1338.3000,1339.5000,400
1449464342,1339.6000,1339.9000,1337.9500,1338.2500,800
1449464699,1340.5000,1340.5000,1339.1500,1339.4500,300
1449464963,1342.0500,1344.1000,1340.5000,1340.5000,3300
1449465253,1340.7500,1342.1000,1340.0000,1342.1000,1400
1449465549,1340.0000,1341.3000,1339.5000,1341.3000,400
1449465899,1341.6000,1342.0000,1339.0000,1339.2000,3500
1449466199,1339.3500,1341.6000,1338.5500,1341.6000,5700
1449466440,1343.6000,1344.0000,1339.0500,1339.5000,3800
1449466748,1343.5000,1344.3000,1342.3000,1343.6000,2300
1449467046,1344.6000,1344.8500,1343.1500,1343.5000,700
1449467346,1344.3000,1344.6000,1343.5000,1344.6000,200
1449467677,1343.9000,1344.0000,1343.1500,1344.0000,300
1449467958,1344.7000,1344.7000,1343.2000,1343.8500,800
1449468291,1344.2000,1344.8000,1343.3000,1344.7000,1600
1449468509,1344.5000,1344.6500,1343.5000,1344.2000,100
1449468854,1345.1000,1345.1000,1344.0500,1344.5000,8500
1449469140,1348.5500,1350.8000,1344.5000,1345.1000,6100
1449469446,1348.4500,1349.0000,1348.0000,1348.2000,600
1449469747,1347.9000,1349.9000,1347.8000,1349.6500,1500
1449470077,1348.1000,1349.4500,1347.8000,1347.9500,900
1449470356,1347.7500,1349.1500,1347.6500,1348.9000,1400
1449470665,1348.3000,1348.3000,1347.6000,1347.6000,1000
1449470992,1347.5000,1348.5000,1347.5000,1348.3000,500
1449471277,1348.4500,1348.4500,1347.5000,1347.5000,200
1449471482,1347.5000,1347.5500,1347.5000,1347.5500,200
1449471840,1350.2000,1351.5000,1347.5000,1347.5000,6400
1449472140,1345.5500,1350.2000,1344.7500,1350.2000,6500
1449472442,1346.1000,1346.4500,1345.0000,1345.8500,700
1449472741,1348.9000,1348.9000,1345.2000,1345.2000,1200
1449473041,1348.4500,1349.0000,1347.0000,1348.9000,800
1449473342,1347.5500,1348.5500,1347.5500,1347.6500,900
1449473641,1347.5500,1348.6000,1347.5000,1347.5500,1500
1449473941,1348.5000,1349.0000,1347.4500,1347.5500,900
1449474241,1348.7500,1349.0000,1347.5500,1348.0000,1100
1449474541,1347.9500,1348.7500,1347.1500,1348.0500,500
1449474841,1347.1500,1347.8500,1347.1500,1347.1500,1800
1449475141,1348.1500,1348.5500,1347.0000,1347.1500,2000
1449475440,1348.0500,1348.5000,1347.0000,1348.1500,1200
1449475740,1349.8500,1350.0000,1347.1500,1347.1500,2600
1449476042,1348.2500,1349.9000,1348.2000,1349.8500,800
1449476341,1348.1500,1349.1000,1347.1500,1348.2500,700
1449476641,1347.8000,1348.6000,1347.1500,1347.1500,1000
1449476941,1348.4000,1349.3000,1347.7500,1348.9000,800
1449477241,1349.4000,1349.7500,1347.9000,1349.2500,3700
1449477541,1348.2000,1349.5000,1348.0500,1348.6500,1200
1449477899,1347.4000,1348.9500,1347.0500,1348.7000,1100
1449478142,1348.2000,1348.7500,1347.4000,1348.5000,700
1449478441,1348.9000,1349.8500,1347.4000,1348.2000,2300
1449478741,1349.6000,1349.8500,1347.9000,1348.1000,2700
1449479041,1348.7500,1350.0000,1347.9000,1348.6000,1700
1449479343,1348.8500,1349.3000,1348.0000,1348.5000,300
1449479642,1349.6000,1350.8000,1348.0500,1348.0500,2600
1449479943,1348.5000,1350.0000,1347.9000,1349.6000,1300
1449480243,1350.0000,1350.5500,1348.1500,1348.3500,1900
1449480542,1353.1000,1353.1000,1349.5500,1350.0000,1700
1449480842,1353.3000,1354.0000,1350.3500,1353.1000,2900
1449481143,1353.1000,1354.0000,1353.0000,1353.0000,1500
1449481442,1352.3500,1354.0000,1352.3500,1353.0500,2600
1449481740,1353.8000,1355.0500,1352.0000,1352.3000,7000
1449482040,1354.9500,1355.0000,1353.0000,1353.6000,4000
1449482340,1352.0000,1355.9500,1351.5000,1355.0500,6200
1449546548,1343.0000,1346.7000,1339.4000,1345.0500,0
1449546842,1341.4500,1344.2000,1340.5500,1344.2000,4200
1449547199,1345.5000,1345.7000,1340.5000,1341.3000,4100
1449547440,1345.6000,1345.7000,1343.1000,1345.4000,2500
1449547740,1344.0000,1345.6000,1344.0000,1344.7500,800
1449548045,1345.5000,1345.5000,1344.1000,1344.2500,700
1449548354,1346.9500,1347.4500,1344.1500,1345.5000,1100
1449548658,1346.1000,1348.9000,1345.6000,1347.1500,2900
1449548941,1347.1000,1347.9500,1346.1000,1346.1000,600
1449549245,1347.7500,1348.3500,1346.7000,1347.0000,3400
1449549541,1346.9000,1348.0000,1346.5000,1347.1000,1400
1449549841,1346.3000,1347.0000,1344.3500,1346.9000,3100
1449550165,1346.7000,1346.7000,1345.1500,1345.2000,100
1449550451,1347.4000,1347.9500,1344.9500,1346.6000,300
1449550662,1346.3000,1347.9500,1345.9000,1347.0000,0
1449551077,1347.4500,1347.4500,1345.3000,1346.2000,32300
1449551282,1347.5000,1347.5000,1346.5000,1346.5000,0
1449551698,1350.5000,1351.0500,1347.5500,1347.5500,1700
1449551957,1347.8000,1351.0000,1347.8000,1350.5000,1000
1449552227,1349.9500,1350.0000,1348.3000,1348.3500,200
1449552581,1348.7000,1350.0000,1348.6500,1349.3000,200
1449552885,1346.9500,1349.4000,1346.0500,1348.5500,100
1449553160,1350.0000,1350.0000,1346.3000,1346.3000,300
1449553441,1350.0000,1350.1500,1348.9500,1348.9500,200
1449553771,1346.3000,1350.0000,1346.3000,1350.0000,1000
1449554078,1347.0000,1347.0000,1345.0500,1346.0000,200
1449554374,1346.5000,1347.1500,1346.3000,1347.1500,0
1449554655,1346.0000,1347.4000,1345.7500,1347.3500,500
1449554953,1347.8000,1347.8000,1346.0000,1346.0000,0
1449555257,1347.2500,1347.4000,1346.5000,1346.5000,500
1449555574,1347.3500,1347.3500,1346.7500,1347.2500,0
1449555854,1348.0000,1349.0000,1347.0000,1347.3500,800
1449556129,1347.0000,1347.0500,1347.0000,1347.0500,100
1449556476,1346.7000,1347.0000,1346.7000,1347.0000,1300
1449556704,1347.0000,1347.0000,1346.0500,1346.7000,1100
1449557064,1346.0000,1347.0000,1346.0000,1347.0000,800
1449557383,1346.8500,1346.9000,1346.0000,1346.0000,1000
1449557672,1346.0500,1347.0000,1346.0000,1346.0500,300
1449557891,1346.9000,1346.9000,1346.0000,1346.0500,400
1449558245,1346.1000,1346.9000,1346.0000,1346.9000,200
1449558587,1346.1000,1346.9000,1346.1000,1346.9000,0
1449558862,1346.9000,1346.9000,1346.1000,1346.8000,100
1449559178,1346.0000,1346.9000,1346.0000,1346.9000,1100
1449559444,1346.9500,1347.0000,1345.8000,1346.0000,1600
1449559750,1345.0500,1346.0000,1345.0500,1346.0000,2300
1449559992,1346.1000,1346.2500,1346.1000,1346.2500,0
1449560379,1343.5000,1345.0500,1343.5000,1345.0500,2800
1449560679,1344.6000,1345.0000,1343.5000,1343.5000,1300
1449560989,1345.4500,1345.9500,1344.0000,1344.9000,1000
1449561249,1350.6500,1350.6500,1344.6000,1344.9000,4400
1449561550,1349.0000,1351.0000,1349.0000,1349.6500,1100
1449561844,1349.6000,1349.7000,1347.5500,1349.0000,600
1449562197,1349.0000,1349.0500,1349.0000,1349.0500,300
1449562474,1348.5000,1349.3000,1348.5000,1349.0000,300
1449562756,1349.0000,1349.0500,1349.0000,1349.0500,0
1449563045,1347.3500,1349.0000,1347.3500,1349.0000,1500
1449563389,1348.1500,1348.1500,1348.0000,1348.0000,0
1449563697,1348.1000,1348.9500,1346.2000,1348.0500,400
1449563917,1347.8500,1348.2500,1346.5500,1347.0000,0
1449564299,1347.0000,1348.6000,1346.5000,1346.5000,300
1449564543,1343.5000,1347.0000,1343.5000,1347.0000,1900
1449564780,1344.9500,1344.9500,1343.0000,1343.2000,700
1449565145,1345.5000,1345.5500,1344.8000,1345.5500,200
1449565389,1348.7000,1349.7000,1346.0500,1346.0500,2300
1449565746,1349.0000,1349.0000,1348.7000,1349.0000,800
1449566046,1349.0000,1349.9500,1348.7500,1349.9500,800
1449566353,1346.4000,1349.0000,1346.2000,1349.0000,3000
1449566679,1346.4500,1346.4500,1345.5000,1346.4000,100
1449566998,1345.0000,1345.7500,1343.6500,1345.5500,2600
1449567298,1339.1000,1345.0500,1339.0000,1345.0000,15400
1449567544,1337.5000,1339.6000,1337.5000,1338.7500,7700
1449567856,1337.9500,1339.5000,1337.0000,1337.4500,2400
1449568143,1336.0500,1338.0000,1335.3500,1337.0500,2400
1449568442,1335.7500,1337.7500,1332.6000,1336.0000,3200
1449568742,1334.0000,1337.3000,1333.5000,1336.8000,3200
